"country","polyarchy","liberal_democracy","participatory_democracy","deliberative_democracy","egalitarian_democracy","gdp_per_capita","exports","imports","gdp","population"
"Lebanon",0.493,0.309,0.263,0.371,0.305,28.433,3428.009,21531.251,19572.362,688.415
"Nigeria",0.532,0.386,0.359,0.427,0.303,11.703,93438.535,66789.477,222812.977,19041.14
"Philippines",0.55,0.428,0.377,0.491,0.286,14.244,61796.189,70976.038,154520.81,10848.944
"Tanzania",0.476,0.397,0.303,0.391,0.348,5.075,4015.625,15873.201,26835.338,5288.04
"Taiwan",0.804,0.681,0.608,0.668,0.708,88.714,415713.074,NA,213057.454,2401.759
"Thailand",0.158,0.118,0.069,0.025,0.153,34.071,225242.304,228200.814,246272.095,7228.788
"Uganda",0.317,0.251,0.225,0.281,0.199,4.566,1940.218,4738.456,17896.654,3920.183
"Venezuela",0.31,0.101,0.22,0.077,0.22,33.012,79171.602,43693.799,103455.888,3134.07
"Benin",0.605,0.485,0.386,0.52,0.472,5.261,882.018,9531.864,5833.769,1108.92
"Bhutan",0.573,0.481,0.361,0.478,0.469,22.19,NA,NA,1696.191,76.453
"Burkina Faso",0.575,0.424,0.338,0.475,0.376,4.566,827.35,2695.333,8564.891,1875.824
"Cambodia",0.295,0.112,0.128,0.154,0.11,7.788,10723.2,17428.392,12695.167,1630.144
"Indonesia",0.665,0.517,0.449,0.569,0.423,21.438,176291.653,178178.782,576760.863,26904.453
"Mozambique",0.435,0.3,0.273,0.305,0.286,3.689,5220.937,12782.392,9912.378,2686.904
"Nepal",0.624,0.497,0.302,0.428,0.426,5.523,919.64,8486.418,16111.788,2917.423
"Nicaragua",0.321,0.126,0.188,0.142,0.175,9.395,5378.373,6809.886,6074.128,646.573
"Niger",0.625,0.492,0.451,0.561,0.424,2.249,456.669,1964.101,4549.191,2022.455
"Zambia",0.478,0.384,0.306,0.287,0.306,6.373,8232.322,8974.991,10440.365,1638.356
"Zimbabwe",0.296,0.209,0.234,0.226,0.186,5.036,2754.508,4981.336,7336.247,1456.969
"Guinea",0.368,0.156,0.244,0.147,0.216,3.713,2488.846,6605.697,4351.896,1171.962
"Ivory Coast",0.469,0.32,0.306,0.398,0.296,6.413,12824.715,12228.141,16098.916,2510.288
"Mauritania",0.424,0.176,0.175,0.252,0.182,6.976,2392.635,3886.637,2817.282,403.903
"Canada",0.812,0.743,0.547,0.696,0.676,103.101,474626.66,507025.799,391090.833,3793.636
"Australia",0.857,0.815,0.593,0.779,0.756,111.923,240639.21,250538.025,284138.819,2538.799
"Botswana",0.707,0.608,0.457,0.553,0.509,31.474,5238.497,NA,7044.314,223.827
"Burundi",0.271,0.1,0.194,0.142,0.158,1.921,83.604,679.689,2052.283,1068.672
"Cape Verde",0.803,0.717,0.477,0.655,0.649,13.453,NA,NA,751.567,55.872
"Central African Republic",0.281,0.171,0.114,0.129,0.164,1.594,90.787,507.076,805.283,505.362
"Chile",0.894,0.849,0.592,0.822,0.687,51.977,76648.34,72346.999,98530.67,1895.768
"Costa Rica",0.905,0.856,0.687,0.857,0.811,33.275,30045.067,16098.613,16958.435,509.665
"Timor-Leste",0.639,0.473,0.359,0.425,0.394,7.551,NA,NA,946.373,125.414
"Ecuador",0.54,0.265,0.369,0.343,0.384,23.029,25721.731,27515.437,38902.451,1689.435
